,date,state,fips,cases,deaths,month
6402,2020-06-27,District of Columbia,11,10216,548,6
6403,2020-06-27,Florida,12,132537,3389,6
6404,2020-06-27,Georgia,13,71066,2733,6
6405,2020-06-27,Guam,66,1217,6,6
6406,2020-06-27,Hawaii,15,856,18,6
5818,2020-06-16,Nevada,32,11673,467,6
6408,2020-06-27,Illinois,17,142536,7083,6
6409,2020-06-27,Indiana,18,45707,2616,6
6410,2020-06-27,Iowa,19,28203,704,6
6411,2020-06-27,Kansas,20,13767,269,6
6412,2020-06-27,Kentucky,21,15337,575,6
1910,2020-06-04,Missouri,29,2722,56,6
1912,2020-06-04,Nebraska,31,438,10,6
6271,2020-06-24,Rhode Island,44,16606,912,6
6327,2020-06-25,South Carolina,45,29022,693,6
6301,2020-06-25,Kansas,20,13207,263,6
6302,2020-06-25,Kentucky,21,14793,569,6
6303,2020-06-25,Louisiana,22,53528,3164,6
6304,2020-06-25,Maine,23,3070,103,6
6305,2020-06-25,Maryland,24,66397,3129,6
6306,2020-06-25,Massachusetts,25,107837,7962,6
6307,2020-06-25,Michigan,26,69159,6137,6
6308,2020-06-25,Minnesota,27,34158,1441,6
6309,2020-06-25,Mississippi,28,24516,1016,6
6310,2020-06-25,Missouri,29,20076,1006,6
6311,2020-06-25,Montana,30,803,21,6
6312,2020-06-25,Nebraska,31,18346,266,6
6313,2020-06-25,Nevada,32,14911,495,6
6314,2020-06-25,New Hampshire,33,5638,357,6
6315,2020-06-25,New Jersey,34,172050,14872,6
6316,2020-06-25,New Mexico,35,11192,485,6
6317,2020-06-25,New York,36,395168,31029,6
6318,2020-06-25,North Carolina,37,57538,1305,6
6319,2020-06-25,North Dakota,38,3402,87,6
6320,2020-06-25,Northern Mariana Islands,69,30,2,6
6321,2020-06-25,Ohio,39,47651,2772,6
6322,2020-06-25,Oklahoma,40,11947,375,6
6323,2020-06-25,Oregon,41,7605,199,6
6324,2020-06-25,Pennsylvania,42,88230,6602,6
6325,2020-06-25,Puerto Rico,72,6877,151,6
6300,2020-06-25,Iowa,19,27384,702,6
6299,2020-06-25,Indiana,18,44779,2586,6
6298,2020-06-25,Illinois,17,140935,7024,6
6284,2020-06-25,Alabama,1,33206,896,6
6273,2020-06-24,South Dakota,46,6419,84,6
6274,2020-06-24,Tennessee,47,36822,548,6
6275,2020-06-24,Texas,48,131310,2292,6
6276,2020-06-24,Utah,49,18915,163,6
6277,2020-06-24,Vermont,50,1184,56,6
6278,2020-06-24,Virgin Islands,78,80,6,6
6279,2020-06-24,Virginia,51,59514,1661,6
6280,2020-06-24,Washington,53,31400,1294,6
6281,2020-06-24,West Virginia,54,2629,92,6
6282,2020-06-24,Wisconsin,55,28652,769,6
6283,2020-06-24,Wyoming,56,1282,20,6
6285,2020-06-25,Alaska,2,971,10,6
6297,2020-06-25,Idaho,16,4869,91,6
6286,2020-06-25,Arizona,4,63297,1495,6
6287,2020-06-25,Arkansas,5,18062,240,6
6288,2020-06-25,California,6,201413,5810,6
6289,2020-06-25,Colorado,8,31463,1669,6
6290,2020-06-25,Connecticut,9,45994,4298,6
6291,2020-06-25,Delaware,10,10980,507,6
6292,2020-06-25,District of Columbia,11,10159,543,6
6293,2020-06-25,Florida,12,114010,3326,6
6294,2020-06-25,Georgia,13,67796,2704,6
6295,2020-06-25,Guam,66,1214,6,6
6296,2020-06-25,Hawaii,15,836,17,6
6326,2020-06-25,Rhode Island,44,16640,920,6
6328,2020-06-25,South Dakota,46,6479,87,6
1913,2020-06-04,Nevada,32,1971,58,6
6329,2020-06-25,Tennessee,47,37695,558,6
1938,2020-06-04,Wyoming,56,213,0,6
1937,2020-06-04,Wisconsin,55,2440,83,6
1936,2020-06-04,West Virginia,54,347,4,6
1935,2020-06-04,Washington,53,8385,383,6
1934,2020-06-04,Virginia,51,2877,54,6
1933,2020-06-04,Virgin Islands,78,44,1,6
1932,2020-06-04,Vermont,50,543,23,6
1931,2020-06-04,Utah,49,1662,13,6
1930,2020-06-04,Texas,48,8150,159,6
1929,2020-06-04,Tennessee,47,3753,65,6
1928,2020-06-04,South Dakota,46,288,4,6
1927,2020-06-04,South Carolina,45,2232,48,6
1926,2020-06-04,Rhode Island,44,1082,27,6
1925,2020-06-04,Puerto Rico,72,513,21,6
1924,2020-06-04,Pennsylvania,42,13075,170,6
1923,2020-06-04,Oregon,41,1132,29,6
1922,2020-06-04,Oklahoma,40,1326,51,6
1921,2020-06-04,Ohio,39,4450,142,6
1920,2020-06-04,Northern Mariana Islands,69,8,1,6
1919,2020-06-04,North Dakota,38,225,3,6
1918,2020-06-04,North Carolina,37,2870,42,6
1917,2020-06-04,New York,36,133389,6149,6
1916,2020-06-04,New Mexico,35,686,12,6
1915,2020-06-04,New Jersey,34,41090,1005,6
1914,2020-06-04,New Hampshire,33,715,9,6
6357,2020-06-26,Kentucky,21,15033,575,6
6356,2020-06-26,Kansas,20,13729,266,6
6355,2020-06-26,Iowa,19,27828,704,6
6341,2020-06-26,Arizona,4,66676,1537,6
6330,2020-06-25,Texas,48,136783,2321,6
6331,2020-06-25,Utah,49,19544,164,6
6332,2020-06-25,Vermont,50,1191,56,6
6333,2020-06-25,Virgin Islands,78,81,6,6
6334,2020-06-25,Virginia,51,59946,1675,6
6335,2020-06-25,Washington,53,31998,1301,6
6336,2020-06-25,West Virginia,54,2693,92,6
6337,2020-06-25,Wisconsin,55,29204,775,6
6338,2020-06-25,Wyoming,56,1326,20,6
6339,2020-06-26,Alabama,1,34183,907,6
6340,2020-06-26,Alaska,2,1001,12,6
6342,2020-06-26,Arkansas,5,18740,249,6
6354,2020-06-26,Indiana,18,45269,2595,6
6343,2020-06-26,California,6,207027,5872,6
